temperature;gas;humidity;barometer
32,96;68331;32;995,38
32,97;69231;32;995,37
32,97;69633;32;995,37
32,96;69518;32;995,37
32,96;69004;32;995,37
32,96;69575;32;995,37
32,97;69864;32;995,37
32,97;69575;32;995,35
32,98;69403;32;995,37
32,99;69691;32;995,37
32,99;69403;32;995,37
33;70273;32;995,37
33;70156;32;995,37
33,02;69864;32;995,35
33,02;69633;32;995,35
33,02;69806;32;995,35
33,03;70097;32;995,35
33,04;69864;32;995,37
33,04;70332;32;995,37
33,05;69806;32;995,37
33,05;69806;32;995,35
33,05;69922;32;995,33
33,06;69981;32;995,37
33,06;70039;32;995,37
33,06;69748;32;995,35
33,06;70332;32;995,37
33,06;70273;32;995,37
33,06;69806;32;995,35
33,06;70156;32;995,35
33,07;70156;32;995,35
33,08;70097;32;995,35
33,08;70215;32;995,38
33,08;70215;32;995,35
33,09;70097;32;995,35
33,08;69981;32;995,38
33,09;69806;32;995,37
33,09;69981;32;995,37
33,09;70039;32;995,37
33,09;69748;32;995,37
33,1;69806;32;995,37
33,1;70156;32;995,4
33,07;69806;32;995,38
33,05;69460;32;995,4
33,05;69231;33;995,42
33,05;69806;33;995,4
33,05;69403;33;995,4
33,03;69231;33;995,42
33,02;69633;33;995,4
33,02;69403;33;995,38
33,01;68666;33;995,4
32,97;65355;33;995,44
32,84;63288;34;995,4
32,73;60162;34;995,42
32,64;57527;35;995,38
32,6;55734;35;995,4
32,67;54789;35;995,44
32,73;54399;36;995,42
32,78;54259;36;995,42
32,82;53980;36;995,42
32,84;53567;36;995,42
32,86;54049;37;995,44
32,89;54015;37;995,44
32,9;54611;38;995,44
32,9;54753;38;995,44
32,7;56218;38;995,4
32,55;56256;38;995,42
32,58;56865;38;995,4
32,65;57487;38;995,4
32,68;57409;38;995,42
32,71;57606;38;995,42
32,75;58124;38;995,44
32,75;58083;38;995,42
32,75;58692;39;995,42
32,64;59022;39;995,42
32,58;59565;39;995,44
32,55;59271;38;995,42
32,57;59777;39;995,44
32,55;60162;38;995,42
32,36;60727;38;995,46
32;61754;38;995,46
31,86;61754;37;995,44
31,75;63193;37;995,44
31,56;63098;37;995,42
31,48;63098;37;995,46
31,37;63624;37;995,46
31,28;63768;37;995,42
31,23;64207;37;995,46
31,16;65203;37;995,46
31,06;65001;37;995,42
31;65610;37;995,44
30,93;66283;37;995,44
30,81;66545;37;995,46
30,76;66231;37;995,46
30,7;66970;37;995,48
30,59;67023;37;995,46
30,6;67562;37;995,44
30,7;66863;37;995,46
30,79;67562;37;995,46
30,82;67130;37;995,46
30,87;67453;37;995,48
30,9;67076;38;995,46
30,93;67076;38;995,46
30,96;66863;38;995,48
30,98;67130;38;995,46
30,99;66283;38;995,46
31,01;67453;38;995,46
31,04;67345;38;995,46
31,05;67184;38;995,46
31,07;67291;38;995,48
31,08;66916;38;995,44
31,1;67237;38;995,48
31,11;67834;38;995,5
31,13;67130;38;995,5
31,13;67076;38;995,46
31,15;67399;38;995,46
31,16;67453;38;995,46
31,17;67130;38;995,46
31,18;67023;38;995,44
31,19;66916;38;995,46
31,21;66757;38;995,46
31,23;66970;38;995,44
31,24;66545;38;995,48
31,26;66810;39;995,46
31,26;66598;39;995,44
31,27;67184;38;995,46
31,28;67023;38;995,46
31,29;67670;38;995,48
31,3;67889;38;995,46
31,31;67023;38;995,44
31,31;67291;38;995,5
31,32;67562;38;995,48
31,34;67780;37;995,5
31,34;68054;37;995,5
31,36;68164;37;995,5
31,36;67889;37;995,48
31,37;67944;37;995,5
31,38;67780;37;995,48
31,39;67725;37;995,5
31,4;68386;37;995,48
31,41;68220;37;995,5
31,42;67725;36;995,48
31,42;68331;36;995,46
31,44;67999;36;995,48
31,44;67944;36;995,46
31,45;68778;36;995,48
31,45;68554;36;995,48
31,46;68498;36;995,44
31,47;68554;36;995,48
31,47;68666;36;995,46
31,47;68498;36;995,44
31,48;68666;36;995,46
31,49;68610;36;995,46
31,5;69004;36;995,44
31,5;68834;36;995,46
31,51;68554;36;995,46
31,52;68220;36;995,44
31,52;68498;36;995,44
31,53;68722;36;995,48
31,54;68891;36;995,48
31,54;68610;36;995,46
31,55;69117;36;995,46
31,55;68498;36;995,48
31,55;69061;36;995,46
31,55;68891;36;995,46
31,56;69633;36;995,46
31,56;68834;36;995,46
31,57;69117;36;995,46
31,57;69117;36;995,48
31,56;68778;36;995,46
31,57;68834;36;995,46
31,58;69231;36;995,46
31,58;68722;36;995,46
31,59;69004;36;995,48
31,59;68891;36;995,48
31,59;68220;36;995,48
31,59;69174;36;995,48
31,6;69174;35;995,5
31,6;69403;35;995,48
31,6;69061;35;995,5
31,61;69403;35;995,5
31,61;69061;35;995,5
31,61;69346;35;995,5
31,61;69174;35;995,5
31,62;69004;35;995,5
31,62;69004;35;995,48
31,62;68666;35;995,48
